"gene","Top","p.value","FDR","summary.logFC","logFC.Sham","nmf10"
"GATAD2A",3945,1.06983407489149e-07,2.04808366701168e-07,-0.889952155067091,-0.889952155067091,5.18688809880985e-05
"HADH",3946,1.06984995152132e-07,2.04808366701168e-07,-2.7114023802086,-2.7114023802086,2.09459023425633e-05
"TIRAP",3947,1.06984995152132e-07,2.04808366701168e-07,-2.7114023802086,-2.7114023802086,6.6744480427149e-06
"SIVA1",3948,1.07198790253803e-07,2.0516566847967e-07,-1.57601174254838,-1.57601174254838,1.25529395895195e-05
"PAPOLG",3949,1.08471832062162e-07,2.07549547495998e-07,-0.589178194203682,-0.589178194203682,3.68417457110401e-05
"MYO10",3950,1.08679030451297e-07,2.07893355465823e-07,-0.913399887324127,-0.913399887324127,2.11375694921298e-05
"PEX11A",3951,1.09420960193975e-07,2.09259624202904e-07,-1.55170296961757,-1.55170296961757,1.5751478564056e-06
"TMEM17",3952,1.09787202199479e-07,2.09906907849005e-07,-1.41424952693532,-1.41424952693532,1.33650337750513e-05
"TBC1D22A",3953,1.11080208296022e-07,2.12325336171197e-07,-0.38374054442991,-0.38374054442991,0.000315432167816952
"MZT2A",3954,1.11459371027399e-07,2.12996208265813e-07,-1.78002518069113,-1.78002518069113,7.8803007901135e-05
"SNN",3955,1.1303194465005e-07,2.15946744317516e-07,-1.07925087925112,-1.07925087925112,2.34680489328774e-05
"MAN2A1",3956,1.13442147944963e-07,2.16675649613786e-07,-0.57129426411159,-0.57129426411159,0.000201873112112379
"NFAT5",3957,1.13487049849161e-07,2.16706633474921e-07,0.245814562448838,0.245814562448838,0.000104599065723327
"TTC17",3958,1.13725238927125e-07,2.17106595587003e-07,-0.294879633539057,-0.294879633539057,0.000198923265830692
"METTL22",3959,1.15944324726731e-07,2.21287021377918e-07,-0.956300206698622,-0.956300206698622,9.31566611622822e-06
"SUPV3L1",3960,1.16342633232932e-07,2.21991145633342e-07,-0.530635467548239,-0.530635467548239,3.68951898604203e-05
"RPF2",3961,1.16477329101783e-07,2.22192047132812e-07,-0.826526831651678,-0.826526831651678,1.8756750834663e-05
"MLLT11",3962,1.1951352430073e-07,2.27926347707298e-07,0.370722125816657,0.370722125816657,7.79296003637867e-06
"GALNT13",3963,1.21607161309954e-07,2.31860638621755e-07,-0.269597033454729,-0.269597033454729,0.000861554919903749
"C8orf76",3964,1.22684450678157e-07,2.33855627982885e-07,-0.871541719108681,-0.871541719108681,6.15021895814987e-06
"THSD1",3965,1.23364159778665e-07,2.35091952405446e-07,-2.3447678788208,-2.3447678788208,0.000111506057786592
"KCTD7",3966,1.23742682252947e-07,2.35753834367944e-07,-2.04996090965731,-2.04996090965731,5.46850990829952e-05
"TRAM1",3967,1.24439882347876e-07,2.37022372326833e-07,-0.53892397045142,-0.53892397045142,4.42054824997993e-05
"CENPS",3968,1.24531891881691e-07,2.37137846536808e-07,-1.89568189300514,-1.89568189300514,1.02175306792108e-05
"TSHZ1",3969,1.24921114527808e-07,2.37819083238125e-07,-0.57442193523073,-0.57442193523073,0.000298178088412182
"PACS2",3970,1.26496071821584e-07,2.40756755335992e-07,-0.893249038881286,-0.893249038881286,2.03322880594263e-05
"GSR",3971,1.28353821428321e-07,2.44231043745252e-07,-0.687739373919521,-0.687739373919521,8.41624530924995e-05
"ARHGEF9",3972,1.29451859324028e-07,2.46258370859102e-07,0.24171953126904,0.24171953126904,0.000187936410368933
"TPMT",3973,1.2997537816713e-07,2.47192035597995e-07,-2.17767765775214,-2.17767765775214,7.00725362900425e-05
"EPHX4",3974,1.32987748368262e-07,2.52857429962403e-07,-0.43555755565915,-0.43555755565915,7.36119748511891e-07
"CELF5",3975,1.34168758453608e-07,2.55038777075589e-07,-0.281726658585199,-0.281726658585199,0.000370028436951182
"POLB",3976,1.39544536480913e-07,2.65190774056786e-07,-0.268180148072037,-0.268180148072037,5.46984958562078e-05
"FAHD2A",3977,1.40848557281417e-07,2.67601634100676e-07,-1.34227149150559,-1.34227149150559,4.76150051352341e-05
"REC8",3978,1.45151423878128e-07,2.75707430573941e-07,-3.83642879324123,-3.83642879324123,2.22561626954941e-06
"CD247",3979,1.4666545445895e-07,2.78513237972311e-07,-1.61317562733478,-1.61317562733478,2.81579539374128e-05
"GTF2E2",3980,1.4726174264547e-07,2.79575308399289e-07,-0.57145097143579,-0.57145097143579,8.54487177802568e-05
"NOL4",3981,1.48409216348567e-07,2.81683003951212e-07,-0.258477702820037,-0.258477702820037,0.000563705464035068
"CIAO1",3982,1.5153802501871e-07,2.87549301115362e-07,-0.773198078331324,-0.773198078331324,8.10468194207092e-05
"UBQLN1",3983,1.51638163821362e-07,2.87667076533821e-07,0.422613061500446,0.422613061500446,4.21706641623307e-05
"PHF2",3984,1.52699458239386e-07,2.89607707443976e-07,-0.725324583628078,-0.725324583628078,2.67505976404074e-05
"FLYWCH2",3985,1.5717227852533e-07,2.98015994112269e-07,-1.53661164229285,-1.53661164229285,2.01318495466287e-05
"PPFIA3",3986,1.57737972262689e-07,2.99013577124153e-07,-0.402548340545611,-0.402548340545611,5.38737443722905e-05
"GPR162",3987,1.58278025686799e-07,2.99962067240896e-07,0.430564810069081,0.430564810069081,3.62153466712694e-05
"NDUFS6",3988,1.59233742550735e-07,3.01697632576066e-07,-1.19382756544007,-1.19382756544007,3.09886640071658e-06
"RBM5",3989,1.59680335479556e-07,3.02467940557415e-07,-0.267644762352204,-0.267644762352204,5.65077785799746e-05
"SLC19A1",3990,1.61481622700095e-07,3.05803293514266e-07,-2.24260911668542,-2.24260911668542,2.00807986619553e-06
"GTF3C5",3991,1.62572674388384e-07,3.07792314627569e-07,-1.00442929453786,-1.00442929453786,1.23513924841164e-05
"CMC2",3992,1.63154165621531e-07,3.08815850560193e-07,-1.27032688644243,-1.27032688644243,6.53354498898737e-05
"PSD2",3993,1.63504421287805e-07,3.09401304094829e-07,-2.54557209774852,-2.54557209774852,1.83473352404836e-05
"CLK4",3994,1.64447378467369e-07,3.11107759564205e-07,0.316227542884919,0.316227542884919,3.16119443347405e-05
"HEXB",3995,1.68901941887165e-07,3.19455087083709e-07,-0.866780279842688,-0.866780279842688,1.28529688041702e-05
"FAM171A1",3996,1.79690190557459e-07,3.39774544507547e-07,0.307571348215803,0.307571348215803,0.000264250605951653
"SF3B2",3997,1.8099619169686e-07,3.42158424934068e-07,-0.341176458936081,-0.341176458936081,2.05873813211217e-05
"SLC37A1",3998,1.81423115586616e-07,3.42879705195716e-07,-0.989858623697642,-0.989858623697642,0.000259186271774395
"DDX42",3999,1.86232583698754e-07,3.5188132093718e-07,0.283903203630556,0.283903203630556,5.08177059430082e-05
"TMEM14A",4000,1.92324227826856e-07,3.63300466364932e-07,-1.16791898194329,-1.16791898194329,4.86630508200812e-06
"SIK3",4001,1.94694784169967e-07,3.67686525665651e-07,0.230390793062504,0.230390793062504,0.000369819931317348
"CORO2B",4002,1.95984626084984e-07,3.70029943702684e-07,0.267655910447667,0.267655910447667,1.9908953159399e-05
"SETD3",4003,1.97726595873336e-07,3.7322562038944e-07,0.345451754128531,0.345451754128531,0.000267544120124047
"SELENOT",4004,1.97893895834837e-07,3.73448121110896e-07,0.373203551359025,0.373203551359025,3.93215159536848e-05
"PEX1",4005,2.02306958280242e-07,3.81680743262299e-07,-0.444023011953058,-0.444023011953058,2.62589913609649e-05
"SDCBP",4006,2.03337777279545e-07,3.83529766631114e-07,-0.4599383186541,-0.4599383186541,9.72428728469168e-05
"FADS3",4007,2.05912820101129e-07,3.88289810003526e-07,-1.62542164056756,-1.62542164056756,7.58449262664551e-05
"GGA3",4008,2.15962507275442e-07,4.07138898446418e-07,-0.505817000609563,-0.505817000609563,1.00742577032126e-05
"MBD1",4009,2.16260218015919e-07,4.07598455307629e-07,0.450265216634639,0.450265216634639,2.57613702122078e-05
"PI4KB",4010,2.21501890464357e-07,4.17373636994684e-07,-0.388493886240671,-0.388493886240671,1.88116182536872e-05
"CDH13",4011,2.21614221036663e-07,4.17481190265027e-07,-0.278657194990953,-0.278657194990953,0.000954526366836884
"CD59",4012,2.21890972974325e-07,4.17898352889831e-07,-1.96425242381761,-1.96425242381761,1.33036921162645e-05
"ZNF518B",4013,2.23137495109362e-07,4.20141269136891e-07,-1.42112882766601,-1.42112882766601,6.8514257184057e-05
"IFT22",4014,2.24859043585078e-07,4.2327726291202e-07,-0.679142352167488,-0.679142352167488,2.10459797095e-05
"MRPL22",4015,2.25517377371709e-07,4.24410785409872e-07,-0.947024136843418,-0.947024136843418,2.73900159382947e-05
"IFT20",4016,2.28327271529467e-07,4.29591848525063e-07,-0.383288357769168,-0.383288357769168,2.18436215739793e-05
"DAD1",4017,2.28484495886785e-07,4.29780644988934e-07,0.427758724852761,0.427758724852761,4.13679967474133e-06
"EIF5B",4018,2.30615316127761e-07,4.33680768706162e-07,0.27340858477653,0.27340858477653,2.1839507486561e-05
"MRPL43",4019,2.37678066290305e-07,4.46851323436065e-07,-0.593004602077968,-0.593004602077968,2.24761829716816e-06
"TAB1",4020,2.38456893841444e-07,4.48204052205461e-07,-0.68662991282668,-0.68662991282668,1.09169253418705e-05
"TWF1",4021,2.39386366212134e-07,4.49839190027079e-07,-0.757325638794812,-0.757325638794812,5.44876529158708e-07
"GRIK4",4022,2.40396594360828e-07,4.51625227993638e-07,-0.250223571790543,-0.250223571790543,0.000825753317063065
"FBXW11",4023,2.44339957730834e-07,4.58919393640114e-07,0.244765399081495,0.244765399081495,0.0001153265489469
"TRDMT1",4024,2.4446404443235e-07,4.59038349833707e-07,-0.895370527306562,-0.895370527306562,7.13763610133428e-05
"GSTO1",4025,2.54361395140986e-07,4.77504273710631e-07,-1.11424677765041,-1.11424677765041,1.14810678592063e-05
"SRSF10",4026,2.54981098580638e-07,4.7851123618479e-07,0.287046591087898,0.287046591087898,0.000118016318980587
"ZNF706",4027,2.55024450518283e-07,4.7851123618479e-07,0.505337095544385,0.505337095544385,0.000124228804099802
"LRP6",4028,2.63505002311653e-07,4.94300843462475e-07,-0.318786269475996,-0.318786269475996,0.00011582083276038
"C2CD2L",4029,2.67646394620703e-07,5.01944938633415e-07,0.432805776875863,0.432805776875863,4.5717333212325e-05
"PGK1",4030,2.70963498445472e-07,5.08005803412928e-07,0.490066434119662,0.490066434119662,2.36927283403604e-05
"CXXC5",4031,2.71012624875266e-07,5.08005803412928e-07,0.419346966515418,0.419346966515418,0.000125030090132642
"SDHAF3",4032,2.76164467252848e-07,5.17534403413323e-07,-0.57912569950044,-0.57912569950044,1.43908841838951e-05
"STRC",4033,2.77359658364663e-07,5.19645320754623e-07,-3.03988680601225,-3.03988680601225,6.98525229574517e-06
"AHSA1",4034,2.81858101681451e-07,5.27942443308141e-07,-0.454442129447068,-0.454442129447068,2.98573777642257e-06
"PSMA5",4035,2.82060540034419e-07,5.28190691573748e-07,0.452325864186946,0.452325864186946,1.16273080015914e-05
"LSM3",4036,2.82844026473635e-07,5.29526626371354e-07,-0.621434646109826,-0.621434646109826,2.43164488824497e-06
"GALNT11",4037,2.84408257896063e-07,5.32323209477992e-07,0.322931366432946,0.322931366432946,0.000183151620183811
"TAF7L",4038,2.86370265518032e-07,5.35862735575594e-07,-1.01089155077507,-1.01089155077507,2.92677845973684e-05
"RSAD1",4039,2.8875523033875e-07,5.40191760445553e-07,-1.63866837264754,-1.63866837264754,1.82735849286469e-05
"STK36",4040,2.89666651607695e-07,5.41762678105877e-07,-2.64880071095825,-2.64880071095825,4.01916452932707e-05
"TEX10",4041,2.94495746149572e-07,5.50658217744658e-07,-0.463131973704439,-0.463131973704439,1.74773239317239e-05
"COPG1",4042,3.0069728467516e-07,5.62114963633229e-07,-0.411038365565228,-0.411038365565228,1.27312056758672e-05
"SNAP91",4043,3.0124861459794e-07,5.63006315088309e-07,0.249803455090072,0.249803455090072,0.000468265399937244
"EML4",4044,3.04705943026056e-07,5.69326930144629e-07,0.2436923083016,0.2436923083016,4.54537796027675e-05
"LTBP3",4045,3.11976670081741e-07,5.82767792123024e-07,-1.80769348575544,-1.80769348575544,1.98843428771113e-05
"RPS6",4046,3.15231111542664e-07,5.88701502426191e-07,0.601861111657899,0.601861111657899,4.94514552059495e-05
"SEPSECS",4047,3.21927744007855e-07,6.01059064423859e-07,-0.47515960358529,-0.47515960358529,8.52542053090753e-06
"GNPNAT1",4048,3.26481201945753e-07,6.09410069639849e-07,-1.14038658843512,-1.14038658843512,6.48036734443424e-05
"ARPC2",4049,3.30626812543214e-07,6.16995849734879e-07,0.235302668010087,0.235302668010087,4.33200228957095e-05
"MYH14",4050,3.38792565020962e-07,6.32078178098367e-07,-1.7642394117696,-1.7642394117696,1.19143122673763e-05
"PDE4B",4051,3.41072462929779e-07,6.36174655615258e-07,-0.758565455523383,-0.758565455523383,5.69670484918991e-05
"PSME3",4052,3.42118840668315e-07,6.37968894395308e-07,0.785427732645875,0.785427732645875,7.3818739892172e-06
"SLIRP",4053,3.42966968526519e-07,6.39392650921879e-07,-0.92993069832431,-0.92993069832431,3.45558898897496e-05
"MALSU1",4054,3.4787575953863e-07,6.48384124093213e-07,-0.409726659472432,-0.409726659472432,2.0789321601314e-05
"BMT2",4055,3.49567373773552e-07,6.51376344323788e-07,-0.313833889927181,-0.313833889927181,0.000269136698780657
"AASDHPPT",4056,3.52109177410502e-07,6.55950923203588e-07,-0.784194171861228,-0.784194171861228,5.21265917300184e-05
"PDS5A",4057,3.56294830590322e-07,6.63584850860359e-07,0.252081824492353,0.252081824492353,0.000136427240279085
"AFF3",4058,3.67601287529194e-07,6.84473959726612e-07,0.243262903833116,0.243262903833116,0.000350833995842821
"NEUROD2",4059,3.69935511778418e-07,6.8865058561166e-07,-0.330750715114972,-0.330750715114972,2.67019652219064e-05
"POLR1C",4060,3.96210486187125e-07,7.37380894982739e-07,0.586639786385659,0.586639786385659,1.28964452165532e-05
"PSMB7",4061,4.02826548984803e-07,7.49418329340858e-07,0.439337694977055,0.439337694977055,6.97469794834955e-05
"NAV2",4062,4.02876820246502e-07,7.49418329340858e-07,-0.225068615970872,-0.225068615970872,0.00042273110467193
"WDR3",4063,4.03056089608832e-07,7.49567268787677e-07,-0.807062888011445,-0.807062888011445,7.80891054743569e-06
"XPO5",4064,4.07155080647175e-07,7.57003885179639e-07,-0.759212926779836,-0.759212926779836,2.68950357917578e-05
"DYNC1I2",4065,4.16449012438412e-07,7.74093170475926e-07,-0.241100099907887,-0.241100099907887,4.5216678979871e-06
"ARL14EP",4066,4.19167343767175e-07,7.78954365347952e-07,-0.489325501015144,-0.489325501015144,4.3753107644491e-05
"RBM20",4067,4.21943522887825e-07,7.83920643948957e-07,-1.36085897133121,-1.36085897133121,4.96066025010257e-05
"HDAC3",4068,4.26310045145048e-07,7.91838422103241e-07,0.396633285317191,0.396633285317191,2.36635877841928e-05
"CKAP4",4069,4.34040640313058e-07,8.05999281937938e-07,-1.59151360413534,-1.59151360413534,1.4354352476466e-05
"NOL10",4070,4.37390797505983e-07,8.12020851586046e-07,0.34856873368546,0.34856873368546,0.000144304250774306
"GMFB",4071,4.38815392443415e-07,8.14465513461666e-07,-0.613694472523382,-0.613694472523382,5.07490617305457e-05
"HNRNPH3",4072,4.41642157796366e-07,8.19510840940409e-07,-0.266612384669154,-0.266612384669154,4.04861147850957e-05
"CORO1C",4073,4.4769127411215e-07,8.30531614827254e-07,0.36932600315499,0.36932600315499,4.4736898605982e-05
"GDE1",4074,4.49334095557669e-07,8.33374675020556e-07,0.339090720026527,0.339090720026527,1.56277908997096e-05
"SHOC2",4075,4.54730135662215e-07,8.43175682224219e-07,0.366195008897871,0.366195008897871,9.45978219627741e-05
"SP3",4076,4.62654797237786e-07,8.57659383692028e-07,-0.374612341148945,-0.374612341148945,3.94104800519584e-05
"IFFO2",4077,4.65243024907703e-07,8.62245841599854e-07,-0.842977560105859,-0.842977560105859,1.47209616348724e-05
"DNASE1L1",4078,4.6921440017525e-07,8.6939284152138e-07,-3.00250773968618,-3.00250773968618,8.75958986844502e-06
"ZNF821",4079,4.83463646206171e-07,8.95575217144845e-07,-0.321071904706005,-0.321071904706005,6.11099780241397e-05
"NLGN2",4080,4.86583355727495e-07,9.01133293107097e-07,0.410007071273537,0.410007071273537,2.78184617168562e-05
"OGDH",4081,5.00077428229109e-07,9.25868860985937e-07,0.273711883470179,0.273711883470179,3.76313261151276e-05
"RNF149",4082,5.00184845228242e-07,9.25868860985937e-07,0.370633908149238,0.370633908149238,0.000137888271330376
"CRISPLD1",4083,5.02802166766604e-07,9.30485714447333e-07,-1.74463687485196,-1.74463687485196,1.17238918651083e-05
"DNAJC2",4084,5.07479685830246e-07,9.38911975057136e-07,-0.579206715420435,-0.579206715420435,2.81815290079973e-05
"REPS1",4085,5.16769012786069e-07,9.55864543601357e-07,-0.382423501557353,-0.382423501557353,0.000289436619225573
"PLXNA2",4086,5.17811086687285e-07,9.57557653208304e-07,0.262396449522501,0.262396449522501,0.000100929606290158
"HSP90AB1",4087,5.24110404355639e-07,9.68969467900956e-07,0.246089936519377,0.246089936519377,6.5617614591799e-05
"SLC4A4",4088,5.43056816567173e-07,1.00375178717748e-06,-0.223718247260646,-0.223718247260646,0.000122939996029337
"AGPAT4",4089,5.43801619865303e-07,1.00488262159507e-06,0.251925836792461,0.251925836792461,0.000415503116878983
"URB1",4090,5.44925133884315e-07,1.00671254563078e-06,-0.676985918159698,-0.676985918159698,4.47882096527425e-05
"JAK2",4091,5.50212332758893e-07,1.01623182261701e-06,0.426407260366754,0.426407260366754,0.000164833015540915
"HMGN1",4092,5.59634665793764e-07,1.03338209548819e-06,0.480099080699437,0.480099080699437,3.71098971963673e-05
"KNOP1",4093,5.60309583606653e-07,1.03437557139796e-06,0.318176974929731,0.318176974929731,3.5428953736325e-05
"CEP41",4094,5.65432018884304e-07,1.04357702361744e-06,-1.66870120659215,-1.66870120659215,2.82736166525673e-05
"CCDC7",4095,5.77764495526423e-07,1.06607778466365e-06,-1.86403545103982,-1.86403545103982,0.000111295082803206
"DNM1L",4096,5.87572821809799e-07,1.08391119179562e-06,-0.304223658240901,-0.304223658240901,9.35140359730757e-05
"AMACR",4097,5.90546945856518e-07,1.089131736122e-06,-1.63491945752345,-1.63491945752345,1.4699150193754e-06
"KIF1A",4098,5.91394963391157e-07,1.09042956158701e-06,0.269872000096115,0.269872000096115,8.57225522082421e-05
"SCO1",4099,5.9572165226876e-07,1.09813925458472e-06,-2.35035560185702,-2.35035560185702,6.43324093847041e-06
"RIOX2",4100,5.99003911302838e-07,1.10392037897664e-06,-0.802683265923246,-0.802683265923246,6.75911632755114e-05
"VPS35",4101,6.01302444365106e-07,1.10788619108089e-06,0.372906469699689,0.372906469699689,4.17496209092036e-05
"HS6ST3",4102,6.02161886579102e-07,1.10919922354746e-06,-0.270885638000591,-0.270885638000591,0.00087299661135275
"ADARB1",4103,6.04594104745838e-07,1.11340800766745e-06,-0.281440777092921,-0.281440777092921,0.000265620371930531
"MTBP",4104,6.11383048802128e-07,1.12563604209281e-06,-1.6035211661996,-1.6035211661996,1.77388597780451e-05
"FBXL17",4105,6.14298699672942e-07,1.13072861747351e-06,-0.231444943882275,-0.231444943882275,0.000104586844762724
"MARCKS",4106,6.14484031577377e-07,1.13079428704303e-06,-0.484749326228917,-0.484749326228917,5.69168652988406e-05
"COPB1",4107,6.18121924681724e-07,1.13721189746655e-06,0.351267838624068,0.351267838624068,2.45059384805624e-05
"KDM1A",4108,6.22472449195902e-07,1.14493715338954e-06,0.268919085897981,0.268919085897981,8.08518466493082e-05
"ACAT1",4109,6.35600654567237e-07,1.16879984081529e-06,-0.29614177326444,-0.29614177326444,4.6317545110982e-05
"PSMD11",4110,6.47741120687015e-07,1.19083501409029e-06,0.284902197727789,0.284902197727789,1.55101804099605e-05
"FRS2",4111,6.51632848909398e-07,1.19769832312318e-06,-0.293301180416681,-0.293301180416681,0.000186875074008968
"ARHGAP24",4112,6.54459531731491e-07,1.2026012212459e-06,-0.89249850712068,-0.89249850712068,6.17055610442193e-06
"SSU72",4113,6.80353955052815e-07,1.24987952452688e-06,-0.395083639958516,-0.395083639958516,9.62126449679137e-06
"XXYLT1",4114,6.81142282017987e-07,1.25102359818374e-06,-0.989344373113754,-0.989344373113754,4.76054988349027e-05
"EPB41L1",4115,6.91157858035505e-07,1.2691102734669e-06,0.222703406664955,0.222703406664955,0.000303088119968466
"TMEM127",4116,6.9378716805051e-07,1.27362872735414e-06,-0.56640373241592,-0.56640373241592,5.1020042460212e-06
"MRAP2",4117,6.95475772437516e-07,1.27641849320813e-06,-2.45461294811097,-2.45461294811097,5.2056676217001e-05
"SIRT2",4118,7.02461262650734e-07,1.28892600791378e-06,-0.442623983281657,-0.442623983281657,6.29595308984481e-05
"INTS1",4119,7.17845794346157e-07,1.3168348681912e-06,-0.907802869852571,-0.907802869852571,4.25710306656208e-05
"NUP133",4120,7.35812444555495e-07,1.34946573569449e-06,-0.732012104526951,-0.732012104526951,2.66922479871185e-05
"WDR91",4121,7.36728728139031e-07,1.3508183134721e-06,-0.619004784800891,-0.619004784800891,5.89516067328906e-06
"NEFL",4122,7.43010789074574e-07,1.36200619171458e-06,0.371969716331159,0.371969716331159,2.79304662416772e-05
"BSN",4123,7.49988417835232e-07,1.3744633725838e-06,0.22706313288414,0.22706313288414,0.000339263414697354
"PITPNA",4124,7.52375800236385e-07,1.3785042547493e-06,0.258639157421436,0.258639157421436,1.0914980786388e-05
"NAT10",4125,7.59430859147376e-07,1.39109322950729e-06,-0.653634017526182,-0.653634017526182,8.65539276183871e-05
"PCMT1",4126,7.65282579851342e-07,1.40147241235016e-06,-0.299579026847087,-0.299579026847087,2.8483316682706e-05
"UXS1",4127,7.70332445120321e-07,1.41037847233563e-06,-0.344816577892532,-0.344816577892532,0.000144714485534203
"RAB5A",4128,7.71757352494337e-07,1.41264499889709e-06,0.359046435362899,0.359046435362899,1.59504579096672e-05
"TAGLN2",4129,7.7765178979677e-07,1.42308959159709e-06,-2.58335891430008,-2.58335891430008,1.06769137640371e-05
"PLB1",4130,7.80731960505767e-07,1.42838031321588e-06,-2.23603576871841,-2.23603576871841,0.000205342753844234
"BLOC1S6",4131,7.89202327069725e-07,1.44352766481211e-06,-1.68581917762511,-1.68581917762511,5.95285094345088e-05
"CKMT2",4132,7.91439899711769e-07,1.44727005862104e-06,-1.31891904206974,-1.31891904206974,2.98058586087684e-05
"APLP2",4133,7.92818934848319e-07,1.44944105291892e-06,-0.268340955124347,-0.268340955124347,0.00012808484465116
"EPHB6",4134,8.16768179287595e-07,1.49286414191995e-06,-1.33340399082767,-1.33340399082767,9.10876673911514e-05
"PEF1",4135,8.17988473942917e-07,1.4947329889027e-06,-0.873032481956144,-0.873032481956144,6.53541791704593e-06
"PIK3CD",4136,8.38930988576087e-07,1.532631177389e-06,-1.16442339342421,-1.16442339342421,3.67011353447245e-06
"MAT2A",4137,8.61943330893798e-07,1.57429146923702e-06,-0.266844698356152,-0.266844698356152,3.49995358147204e-05
"PPP2R2D",4138,8.77100034366857e-07,1.60158720630159e-06,0.454127000037256,0.454127000037256,3.14913764860433e-05
"ZNF773",4139,8.86420923981081e-07,1.61821611539044e-06,-1.58562116038553,-1.58562116038553,6.3314120302915e-06
"FGF12",4140,9.41865568109796e-07,1.71901841368059e-06,-0.225031910397276,-0.225031910397276,0.000594237200628863
"HP1BP3",4141,9.55274429662985e-07,1.74307017399988e-06,-0.412035662624228,-0.412035662624228,1.21116416791107e-05
"NELFE",4142,9.58790105769321e-07,1.74906278107025e-06,-0.614623914403213,-0.614623914403213,1.7923051125668e-06
"SLC25A46",4143,9.60095113483128e-07,1.75102068005757e-06,0.44773288827279,0.44773288827279,3.04916969499794e-05
"UTP20",4144,9.70209627403632e-07,1.76904052718674e-06,-0.490213958461637,-0.490213958461637,9.08440043834501e-05
"ACER2",4145,9.78926308202188e-07,1.78450354276857e-06,-2.13782736966216,-2.13782736966216,0.000359952403017901
"CERK",4146,9.83943958326096e-07,1.7932176915369e-06,-0.47025046862628,-0.47025046862628,4.58584171279538e-05
"UNC79",4147,9.92378391361997e-07,1.80815315291325e-06,-0.222413877719098,-0.222413877719098,0.00054364123800561
"HID1",4148,1.01976444096202e-06,1.85760369235994e-06,-0.493565633288691,-0.493565633288691,3.71434407458226e-05
"HMOX2",4149,1.03629444220614e-06,1.88725977471911e-06,-0.375848155678732,-0.375848155678732,1.25858090563521e-05
"LDB2",4150,1.04095323875626e-06,1.89528739085357e-06,-1.06536982198652,-1.06536982198652,0.000584455307088555
"RNF128",4151,1.04322384552752e-06,1.89896395490386e-06,0.478880687503513,0.478880687503513,1.68399519088309e-05
"RBM27",4152,1.06327530943435e-06,1.93499716716905e-06,-0.339977336959146,-0.339977336959146,5.78197647524183e-05
"PI4KA",4153,1.07594032141311e-06,1.95757405937816e-06,0.214506330449475,0.214506330449475,0.000204104893629352
"PANK4",4154,1.08610664324001e-06,1.97559504003887e-06,-0.744209850470548,-0.744209850470548,8.29143145450222e-06
"SDHB",4155,1.09190374001806e-06,1.98566177125786e-06,-0.389949017700248,-0.389949017700248,3.98073624361982e-05
"ATP6V0E2",4156,1.09233514122633e-06,1.98596831739801e-06,-0.480577275175717,-0.480577275175717,6.01386260192974e-05
"ABHD3",4157,1.09266895933414e-06,1.98609734345172e-06,-0.679242672744233,-0.679242672744233,1.90720907693792e-05
"VPS4A",4158,1.09786626962854e-06,1.99506434182618e-06,-0.645099822523382,-0.645099822523382,1.66116871835225e-05
"RNF130",4159,1.0990967293753e-06,1.99682012194272e-06,-0.321997387627269,-0.321997387627269,0.000226932431602321
"PPP1R1A",4160,1.10006283572255e-06,1.99809490065376e-06,0.232530888349156,0.232530888349156,2.55472102690129e-05
"NCL",4161,1.1505920592172e-06,2.08937120871068e-06,0.305130208259486,0.305130208259486,5.5019651257129e-05
"ETFRF1",4162,1.16880806175474e-06,2.12193986415637e-06,-1.33441204506663,-1.33441204506663,1.22776677766902e-05
"TBC1D24",4163,1.17008421346791e-06,2.12374641291461e-06,-0.420822302601743,-0.420822302601743,1.13924081959289e-06
"FGFR2",4164,1.18270349355254e-06,2.14613534997191e-06,-0.219419925779932,-0.219419925779932,1.42813550105557e-05
"SPATA17",4165,1.1837870246865e-06,2.14758577635803e-06,-2.0523617095345,-2.0523617095345,0.000109187185738438
"TOP1",4166,1.18514173650571e-06,2.14952735502572e-06,0.217905754446537,0.217905754446537,0.000131258591270227
"VPS13A",4167,1.19190856816794e-06,2.16128177131677e-06,0.222324688709799,0.222324688709799,0.000216367331227307
"RAB5B",4168,1.19493932369975e-06,2.16625756474936e-06,-0.32883575637113,-0.32883575637113,1.35646598862603e-05
"SHISA6",4169,1.20184134973531e-06,2.1782473587431e-06,-0.216939276174031,-0.216939276174031,0.000841904601468561
"GATM",4170,1.20267285108722e-06,2.1787091975102e-06,-1.3501146699522,-1.3501146699522,5.54701167176051e-05
"ALKBH4",4171,1.20267285108722e-06,2.1787091975102e-06,-1.3501146699522,-1.3501146699522,5.42382809933594e-06
"MEST",4172,1.2513119930057e-06,2.26627838426441e-06,-0.881625551939663,-0.881625551939663,9.73744364512271e-05
"MID1",4173,1.27230712422358e-06,2.3037509299385e-06,0.34610475017512,0.34610475017512,6.57921833516883e-05
"SYNPR",4174,1.27510764410471e-06,2.30826865329545e-06,-0.215149297865308,-0.215149297865308,0.00095553918170882
"ELOA",4175,1.27668198966994e-06,2.31056505723259e-06,-0.939976045774358,-0.939976045774358,2.66211303308994e-05
"RYK",4176,1.28268739407658e-06,2.32087786150447e-06,-0.323039184744289,-0.323039184744289,0.000120070579408283
"BAG2",4177,1.28489025825867e-06,2.324307108308e-06,-1.40248924047985,-1.40248924047985,2.36888615526708e-05
